name,description,stars,languages
cs547-project,CS 547 Information Retrieval Final Project,1,Python
banquets.github.io,No description provided,0,HTML
exp1,No description provided,0,CSS
exp2,experimentno2,0,CSS
exp3,No description provided,0,HTML
exp4,No description provided,0,
exp6,No description provided,0,
HMI,experiments,0,HTML
HMIexp2,No description provided,0,CSS
https---github.com-LiamSnow-cs547-project,No description provided,0,
https---github.com-LiamSnow-cs547-project-,No description provided,0,
informationretrievalhw2,No description provided,0,Python
newbanquets.github.io,No description provided,0,HTML
part2,No description provided,0,HTML
projectcode,No description provided,0,
swansonbanquets,No description provided,0,HTML
website,No description provided,0,Python
